Game URL,Quarter,Time,Left Event,Right Event
Q2,7:37,디온테 버튼 2점슛성공,,
Q2,7:51,이승현 굿디펜스,,
Q2,7:51,,제레미아 틸먼 턴오버,
Q2,7:51,,팀파울,
Q2,7:51,,제레미아 틸먼 파울,
Q2,7:59,팀파울,,
Q2,7:59,정창영 파울,,
Q2,8:01,,문성곤 수비리바운드,
Q2,8:02,허웅 3점슛시도,,
Q2,8:19,정창영 스틸,,
Q2,8:21,,제레미아 틸먼 턴오버,
Q2,8:39,정창영 2점슛성공,,
Q2,8:49,이승현 공격리바운드,,
Q2,8:50,이승현 2점슛시도,,
Q2,8:52,이승현 공격리바운드,,
Q2,8:54,디온테 버튼 2점슛시도,,
Q2,9:01,,허훈 어시스트,
Q2,9:01,,팀속공,
Q2,9:02,,문성곤 2점슛성공,
Q2,9:08,,문정현 수비리바운드,
Q2,9:11,디온테 버튼 2점슛시도,,
Q2,9:21,,제레미아 틸먼 어시스트,
Q2,9:21,,한희원 3점슛성공,
Q2,9:44,디온테 버튼 2점슛성공,,
Q2,10:00,,제레미아 틸먼 교체(IN),
Q2,10:00,,문성곤 교체(IN),
Q2,10:00,,허훈 교체(IN),
Q2,10:00,,한희원 교체(IN),
Q2,10:00,,레이션 해먼즈 교체(OUT),
Q2,10:00,,최창진 교체(OUT),
Q2,10:00,,이윤기 교체(OUT),
Q2,10:00,,하윤기 교체(OUT),
Q2,10:00,정창영 교체(IN),,
Q2,10:00,이근휘 교체(OUT),,
Q2,게임시작,,,
Q2,10:00,,레이션 해먼즈 교체(IN),
Q2,10:00,,문정현 교체(IN),
Q2,10:00,,최창진 교체(IN),
Q2,10:00,,이윤기 교체(IN),
Q2,10:00,,하윤기 교체(IN),
Q2,10:00,이승현 교체(IN),,
Q2,10:00,이근휘 교체(IN),,
Q2,10:00,디온테 버튼 교체(IN),,
Q2,10:00,허웅 교체(IN),,
Q2,10:00,이호현 교체(IN),,
Q3,3쿼터 시작,,,
Q3,0:00,,레이션 해먼즈 교체(OUT),
Q3,0:00,,문정현 교체(OUT),
Q3,0:00,,문성곤 교체(OUT),
Q3,0:00,,허훈 교체(OUT),
Q3,0:00,,한희원 교체(OUT),
Q3,0:00,이승현 교체(OUT),,
Q3,0:00,디온테 버튼 교체(OUT),,
Q3,0:00,정창영 교체(OUT),,
Q3,0:00,김동현 교체(OUT),,
Q3,0:00,허웅 교체(OUT),,
Q3,게임종료,,,
Q3,0:01,,문정현 수비리바운드,
Q3,0:01,디온테 버튼 3점슛시도,,
Q3,0:16,,팀턴오버,
Q3,0:16,,문정현 2점슛시도,
Q3,0:32,팀파울,,
Q3,0:32,김동현 파울,,
Q3,0:39,,레이션 해먼즈 수비리바운드,
Q3,0:42,김동현 3점슛시도,,
Q3,0:50,디온테 버튼 수비리바운드,,
Q3,0:52,,문성곤 3점슛시도,
Q3,1:11,디온테 버튼 2점슛성공,,
Q3,1:22,,레이션 해먼즈 자유투성공,
Q3,1:22,팀파울,,
Q3,1:22,정창영 파울자유투,,
Q3,1:22,,허훈 어시스트,
Q3,1:22,,레이션 해먼즈 2점슛성공,
Q3,1:31,허웅 2점슛성공,,
Q3,1:41,,팀파울,
Q3,1:41,,한희원 파울,
Q3,1:43,디온테 버튼 수비리바운드,,
Q3,1:45,,레이션 해먼즈 2점슛시도,
Q3,2:05,,문정현 수비리바운드,
Q3,2:07,이승현 2점슛시도,,
Q3,2:28,,레이션 해먼즈 교체(IN),
Q3,2:28,,제레미아 틸먼 교체(OUT),
Q3,2:28,허웅 굿디펜스,,
Q3,2:28,,제레미아 틸먼 턴오버,
Q3,2:28,,팀파울,
Q3,2:28,,제레미아 틸먼 파울,
Q3,2:29,,팀리바운드,
Q3,2:29,디온테 버튼 블록,,
Q3,2:29,,제레미아 틸먼 2점슛시도,
Q3,2:53,디온테 버튼 자유투성공,,
Q3,2:53,,팀파울,
Q3,2:53,,문성곤 파울자유투,
Q3,2:53,허웅 어시스트,,
Q3,2:53,디온테 버튼 2점슛성공,,
Q3,3:00,,문정현 3점슛성공,
Q3,3:18,김동현 어시스트,,
Q3,3:18,이승현 2점슛성공,,
Q3,3:30,김동현 교체(IN),,
Q3,3:30,이호현 교체(OUT),,
Q3,3:30,,문정현 교체(IN),
Q3,3:30,,하윤기 교체(OUT),
Q3,3:30,,제레미아 틸먼 교체(IN),
Q3,3:30,,레이션 해먼즈 교체(OUT),
Q3,3:30,,팀파울,
Q3,3:30,,하윤기 파울,
Q3,3:36,,레이션 해먼즈 2점슛성공,
Q3,3:45,,레이션 해먼즈 수비리바운드,
Q3,3:47,디온테 버튼 3점슛시도,,
Q3,3:53,디온테 버튼 공격리바운드,,
Q3,4:01,이호현 2점슛시도,,
Q3,4:14,,레이션 해먼즈 2점슛성공,
Q3,4:16,,레이션 해먼즈 공격리바운드,
Q3,4:18,디온테 버튼 블록,,
Q3,4:20,,레이션 해먼즈 2점슛시도,
Q3,4:22,,레이션 해먼즈 공격리바운드,
Q3,4:24,,레이션 해먼즈 2점슛시도,
Q3,4:40,디온테 버튼 턴오버,,
Q3,4:54,작전시간,,
Q3,4:54,,허훈 어시스트,
Q3,4:54,,한희원 3점슛성공,
Q3,4:54,,허훈 공격리바운드,
Q3,5:05,,레이션 해먼즈 2점슛시도,
Q3,5:22,허웅 3점슛성공,,
Q3,5:36,디온테 버튼 수비리바운드,,
Q3,5:38,,허훈 3점슛시도,
Q3,5:59,,레이션 해먼즈 수비리바운드,
Q3,6:02,정창영 3점슛시도,,
Q3,6:20,,허훈 3점슛성공,
Q3,6:36,,문성곤 스틸,
Q3,6:36,디온테 버튼 턴오버,,
Q3,6:52,,한희원 어시스트,
Q3,6:52,,레이션 해먼즈 3점슛성공,
Q3,7:02,,하윤기 공격리바운드,
Q3,7:05,,문성곤 3점슛시도,
Q3,7:15,정창영 교체(IN),,
Q3,7:15,김동현 교체(OUT),,
Q3,7:15,팀파울,,
Q3,7:15,김동현 파울,,
Q3,7:25,디온테 버튼 3점슛성공,,
Q3,7:52,,허훈 어시스트,
Q3,7:52,,하윤기 2점슛성공,
Q3,8:05,,팀리바운드,
Q3,8:05,허웅 3점슛시도,,
Q3,8:26,,레이션 해먼즈 2점슛성공,
Q3,8:31,,레이션 해먼즈 수비리바운드,
Q3,8:34,디온테 버튼 2점슛시도,,
Q3,8:45,,레이션 해먼즈 턴오버,
Q3,8:57,이호현 어시스트,,
Q3,8:57,디온테 버튼 2점슛성공,,
Q3,9:00,이호현 공격리바운드,,
Q3,9:03,김동현 3점슛시도,,
Q3,9:17,팀리바운드,,
Q3,9:18,,하윤기 2점슛시도,
Q3,9:32,,레이션 해먼즈 수비리바운드,
Q3,9:35,이승현 2점슛시도,,
Q3,9:43,,레이션 해먼즈 2점슛성공,
Q3,9:45,,레이션 해먼즈 공격리바운드,
Q3,9:47,,한희원 2점슛시도,
Q3,10:00,이승현 교체(IN),,
Q3,10:00,김동현 교체(IN),,
Q3,10:00,여준형 교체(OUT),,
Q3,10:00,이주영 교체(OUT),,
Q3,10:00,,문성곤 교체(IN),
Q3,10:00,,허훈 교체(IN),
Q3,10:00,,문정현 교체(OUT),
Q3,10:00,,최창진 교체(OUT),
Q3,게임시작,,,
Q3,10:00,,레이션 해먼즈 교체(IN),
Q3,10:00,,문정현 교체(IN),
Q3,10:00,,최창진 교체(IN),
Q3,10:00,,한희원 교체(IN),
Q3,10:00,,하윤기 교체(IN),
Q3,10:00,여준형 교체(IN),,
Q3,10:00,디온테 버튼 교체(IN),,
Q3,10:00,이주영 교체(IN),,
Q3,10:00,허웅 교체(IN),,
Q3,10:00,이호현 교체(IN),,
Q4,4쿼터 시작,,,
Q4,0:00,,레이션 해먼즈 교체(OUT),
Q4,0:00,,문정현 교체(OUT),
Q4,0:00,,이현석 교체(OUT),
Q4,0:00,,최진광 교체(OUT),
Q4,0:00,,한희원 교체(OUT),
Q4,0:00,이승현 교체(OUT),,
Q4,0:00,디온테 버튼 교체(OUT),,
Q4,0:00,정창영 교체(OUT),,
Q4,0:00,허웅 교체(OUT),,
Q4,0:00,이호현 교체(OUT),,
Q4,게임종료,,,
Q4,0:03,허웅 수비리바운드,,
Q4,0:05,,레이션 해먼즈 3점슛시도,
Q4,0:10,디온테 버튼 자유투성공,,
Q4,0:10,디온테 버튼 자유투성공,,
Q4,0:10,,팀파울,
Q4,0:10,,최진광 파울자유투,
Q4,0:17,디온테 버튼 수비리바운드,,
Q4,0:18,디온테 버튼 블록,,
Q4,0:20,,문정현 2점슛시도,
Q4,0:28,,최진광 교체(IN),
Q4,0:28,,허훈 교체(OUT),
Q4,0:28,팀파울,,
Q4,0:28,이호현 파울,,
Q4,0:28,,레이션 해먼즈 수비리바운드,
Q4,0:28,디온테 버튼 2점슛시도,,
Q4,0:30,디온테 버튼 스틸,,
Q4,0:32,,이현석 턴오버,
Q4,0:39,,레이션 해먼즈 교체(IN),
Q4,0:39,,제레미아 틸먼 교체(OUT),
Q4,0:39,,작전시간,
Q4,0:39,,팀리바운드,
Q4,0:39,허웅 3점슛시도,,
Q4,1:00,,제레미아 틸먼 2점슛성공,
Q4,1:01,,제레미아 틸먼 공격리바운드,
Q4,1:02,,허훈 3점슛시도,
Q4,1:14,,작전시간,
Q4,1:14,허웅 3점슛성공,,
Q4,1:21,,팀파울,
Q4,1:21,,문정현 파울,
Q4,1:35,작전시간,,
Q4,1:35,,제레미아 틸먼 2점슛성공,
Q4,1:35,,제레미아 틸먼 공격리바운드,
Q4,1:35,,제레미아 틸먼 2점슛시도,
Q4,1:35,,제레미아 틸먼 공격리바운드,
Q4,1:35,,제레미아 틸먼 2점슛시도,
Q4,1:36,,제레미아 틸먼 공격리바운드,
Q4,1:38,,한희원 2점슛시도,
Q4,1:58,,팀리바운드,
Q4,1:59,이호현 3점슛시도,,
Q4,2:19,디온테 버튼 수비리바운드,,
Q4,2:21,,제레미아 틸먼 2점슛시도,
Q4,2:40,디온테 버튼 2점슛성공,,
Q4,2:44,디온테 버튼 공격리바운드,,
Q4,2:46,이승현 3점슛시도,,
Q4,3:04,팀리바운드,,
Q4,3:06,,문정현 3점슛시도,
Q4,3:23,팀파울,,
Q4,3:23,허웅 파울,,
Q4,3:24,,이현석 수비리바운드,
Q4,3:27,디온테 버튼 2점슛시도,,
Q4,3:44,,제레미아 틸먼 어시스트,
Q4,3:44,,문정현 2점슛성공,
Q4,3:58,,문정현 수비리바운드,
Q4,4:00,이호현 2점슛시도,,
Q4,4:18,,허훈 어시스트,
Q4,4:18,,제레미아 틸먼 2점슛성공,
Q4,4:28,,제레미아 틸먼 수비리바운드,
Q4,4:31,허웅 2점슛시도,,
Q4,4:45,,팀파울,
Q4,4:45,,한희원 파울,
Q4,4:49,,이현석 교체(IN),
Q4,4:49,,문성곤 교체(OUT),
Q4,4:49,,제레미아 틸먼 교체(IN),
Q4,4:49,,레이션 해먼즈 교체(OUT),
Q4,4:49,팀리바운드,,
Q4,4:50,허웅 3점슛시도,,
Q4,4:57,이호현 수비리바운드,,
Q4,4:58,,레이션 해먼즈 2점슛시도,
Q4,5:14,정창영 어시스트,,
Q4,5:14,허웅 3점슛성공,,
Q4,5:22,허웅 수비리바운드,,
Q4,5:24,,허훈 2점슛시도,
Q4,5:42,,한희원 교체(IN),
Q4,5:42,,이윤기 교체(OUT),
Q4,5:42,,작전시간,
Q4,5:42,허웅 3점슛성공,,
Q4,5:50,,팀파울,
Q4,5:50,,허훈 파울,
Q4,5:56,,레이션 해먼즈 2점슛성공,
Q4,6:11,팀파울,,
Q4,6:11,정창영 파울,,
Q4,6:16,,레이션 해먼즈 스틸,
Q4,6:18,디온테 버튼 턴오버,,
Q4,6:31,,팀파울,
Q4,6:31,,이윤기 파울,
Q4,6:31,정창영 수비리바운드,,
Q4,6:33,,허훈 2점슛시도,
Q4,6:49,허웅 어시스트,,
Q4,6:49,정창영 2점슛성공,,
Q4,7:08,,이윤기 교체(IN),
Q4,7:08,,한희원 교체(OUT),
Q4,7:08,정창영 교체(IN),,
Q4,7:08,김동현 교체(OUT),,
Q4,7:08,팀리바운드,,
Q4,7:08,,허훈 3점슛시도,
Q4,7:11,,문성곤 공격리바운드,
Q4,7:12,,문정현 3점슛시도,
Q4,7:36,디온테 버튼 2점슛성공,,
Q4,7:51,,허훈 어시스트,
Q4,7:51,,한희원 3점슛성공,
Q4,7:56,,허훈 스틸,
Q4,7:58,김동현 턴오버,,
Q4,8:02,김동현 수비리바운드,,
Q4,8:04,,한희원 3점슛시도,
Q4,8:11,,레이션 해먼즈 수비리바운드,
Q4,8:13,허웅 3점슛시도,,
Q4,8:35,,문성곤 교체(IN),
Q4,8:35,,하윤기 교체(OUT),
Q4,8:35,이호현 교체(IN),,
Q4,8:35,정창영 교체(OUT),,
Q4,8:35,,팀속공,
Q4,8:35,,레이션 해먼즈 2점슛성공,
Q4,8:35,,레이션 해먼즈 공격리바운드,
Q4,8:37,,한희원 3점슛시도,
Q4,8:42,,하윤기 수비리바운드,
Q4,8:45,,한희원 블록,
Q4,8:47,허웅 3점슛시도,,
Q4,9:06,,허훈 어시스트,
Q4,9:06,,하윤기 2점슛성공,
Q4,9:18,,하윤기 수비리바운드,
Q4,9:20,디온테 버튼 3점슛시도,,
Q4,9:29,허웅 수비리바운드,,
Q4,9:31,,한희원 2점슛시도,
Q4,9:41,,레이션 해먼즈 수비리바운드,
Q4,9:43,허웅 2점슛시도,,
Q4,10:00,,하윤기 교체(IN),
Q4,10:00,,문성곤 교체(OUT),
Q4,게임시작,,,
Q4,10:00,,레이션 해먼즈 교체(IN),
Q4,10:00,,문정현 교체(IN),
Q4,10:00,,문성곤 교체(IN),
Q4,10:00,,허훈 교체(IN),
Q4,10:00,,한희원 교체(IN),
Q4,10:00,이승현 교체(IN),,
Q4,10:00,디온테 버튼 교체(IN),,
Q4,10:00,정창영 교체(IN),,
Q4,10:00,김동현 교체(IN),,
Q4,10:00,허웅 교체(IN),,
Q5,4쿼터 시작,,,
Q5,0:00,,레이션 해먼즈 교체(OUT),
Q5,0:00,,문정현 교체(OUT),
Q5,0:00,,이현석 교체(OUT),
Q5,0:00,,최진광 교체(OUT),
Q5,0:00,,한희원 교체(OUT),
Q5,0:00,이승현 교체(OUT),,
Q5,0:00,디온테 버튼 교체(OUT),,
Q5,0:00,정창영 교체(OUT),,
Q5,0:00,허웅 교체(OUT),,
Q5,0:00,이호현 교체(OUT),,
Q5,게임종료,,,
Q5,0:03,허웅 수비리바운드,,
Q5,0:05,,레이션 해먼즈 3점슛시도,
Q5,0:10,디온테 버튼 자유투성공,,
Q5,0:10,디온테 버튼 자유투성공,,
Q5,0:10,,팀파울,
Q5,0:10,,최진광 파울자유투,
Q5,0:17,디온테 버튼 수비리바운드,,
Q5,0:18,디온테 버튼 블록,,
Q5,0:20,,문정현 2점슛시도,
Q5,0:28,,최진광 교체(IN),
Q5,0:28,,허훈 교체(OUT),
Q5,0:28,팀파울,,
Q5,0:28,이호현 파울,,
Q5,0:28,,레이션 해먼즈 수비리바운드,
Q5,0:28,디온테 버튼 2점슛시도,,
Q5,0:30,디온테 버튼 스틸,,
Q5,0:32,,이현석 턴오버,
Q5,0:39,,레이션 해먼즈 교체(IN),
Q5,0:39,,제레미아 틸먼 교체(OUT),
Q5,0:39,,작전시간,
Q5,0:39,,팀리바운드,
Q5,0:39,허웅 3점슛시도,,
Q5,1:00,,제레미아 틸먼 2점슛성공,
Q5,1:01,,제레미아 틸먼 공격리바운드,
Q5,1:02,,허훈 3점슛시도,
Q5,1:14,,작전시간,
Q5,1:14,허웅 3점슛성공,,
Q5,1:21,,팀파울,
Q5,1:21,,문정현 파울,
Q5,1:35,작전시간,,
Q5,1:35,,제레미아 틸먼 2점슛성공,
Q5,1:35,,제레미아 틸먼 공격리바운드,
Q5,1:35,,제레미아 틸먼 2점슛시도,
Q5,1:35,,제레미아 틸먼 공격리바운드,
Q5,1:35,,제레미아 틸먼 2점슛시도,
Q5,1:36,,제레미아 틸먼 공격리바운드,
Q5,1:38,,한희원 2점슛시도,
Q5,1:58,,팀리바운드,
Q5,1:59,이호현 3점슛시도,,
Q5,2:19,디온테 버튼 수비리바운드,,
Q5,2:21,,제레미아 틸먼 2점슛시도,
Q5,2:40,디온테 버튼 2점슛성공,,
Q5,2:44,디온테 버튼 공격리바운드,,
Q5,2:46,이승현 3점슛시도,,
Q5,3:04,팀리바운드,,
Q5,3:06,,문정현 3점슛시도,
Q5,3:23,팀파울,,
Q5,3:23,허웅 파울,,
Q5,3:24,,이현석 수비리바운드,
Q5,3:27,디온테 버튼 2점슛시도,,
Q5,3:44,,제레미아 틸먼 어시스트,
